date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:07	1810/1810	---M--	200	added ('OK')	image/gif	etag:%2256fd27c5-712%22	http://kindeditor.net/ke4/plugins/emoticons/images/0.gif	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/plugins/emoticons/images/0.gif	(from http://kindeditor.net/ke4/examples/url-type.html)
17:17:07	2806/2806	---M--	200	added ('OK')	image/gif	etag:%224aaf0f2a-af6%22	http://img1.cache.netease.com/img09/logo/logo.gif	E:/xaufe/kindeditor/kindeditor/img1.cache.netease.com/img09/logo/logo.gif	(from http://kindeditor.net/ke4/examples/url-type.html)
17:17:09	223/223	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2009:23:06%20GMT	http://kindeditor.net/ke4/examples/demo-19.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/examples/demo-19.html	(from http://kindeditor.net/ke4/examples/url-type.html)
17:17:09	10147/10147	---M--	200	added ('OK')	image/gif	etag:%2256fd292e-27a3%22	http://kindeditor.net/ke4/themes/default/default.gif	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/themes/default/default.gif	(from http://kindeditor.net/ke4/examples/custom-plugin.html)
17:17:09	217/217	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2009:23:07%20GMT	http://kindeditor.net/ke4/lib/mootools.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/lib/mootools.js	(from http://kindeditor.net/ke4/examples/mootools.html)
17:17:10	257/257	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2009:23:07%20GMT	http://kindeditor.net/ke4/lib/jquery-ui/css/smoothness/jquery-ui-1.9.2.custom.css	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/lib/jquery-ui/css/smoothness/jquery-ui-1.9.2.custom.css	(from http://kindeditor.net/ke4/examples/jquery-ui.html)
17:17:10	244/244	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2009:23:07%20GMT	http://kindeditor.net/ke4/lib/jquery-ui/js/jquery-ui-1.9.2.custom.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/lib/jquery-ui/js/jquery-ui-1.9.2.custom.js	(from http://kindeditor.net/ke4/examples/jquery-ui.html)
17:17:11	9705/9705	---MCZ	200	added ('OK')	text/css	etag:W/%2256fd2898-25e9%22	http://kindeditor.net/docs/_static/basic.css	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/_static/basic.css	(from http://kindeditor.net/docs/_static/classy.css)
17:17:11	223/223	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2009:23:08%20GMT	http://kindeditor.net/docs/_static/classyjs.png	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/_static/classyjs.png	(from http://kindeditor.net/docs/_static/classy.css)
17:17:11	160476/160476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22567a4873-272dc%22	http://kindeditor.net/ke4/kindeditor.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/kindeditor.js	(from http://kindeditor.net/ke4/examples/jquery-ui.html)
17:17:12	3185/3185	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:23:09%20GMT	http://kindeditor.net/docs/search.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/search.html	(from http://kindeditor.net/docs/index.html)
17:17:12	8007/8007	---M--	200	added ('OK')	image/gif	etag:%22567a4872-1f47%22	http://kindeditor.net/ke/skins/default/default.gif	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke/skins/default/default.gif	(from http://kindeditor.net/ke/examples/demo-17.html)
17:17:14	137037/137037	---MCZ	200	added ('OK')	application/javascript	etag:W/%22567a4872-2174d%22	http://kindeditor.net/ke/kindeditor.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke/kindeditor.js	(from http://kindeditor.net/ke/examples/demo-17.html)
17:17:15	392/392	---M--	200	added ('OK')	image/png	etag:%2256fd289a-188%22	http://kindeditor.net/docs/_static/file.png	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/_static/file.png	(from http://kindeditor.net/docs/_static/basic.css)
17:17:15	18862/18862	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256fd289c-49ae%22	http://kindeditor.net/docs/_static/searchtools.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/_static/searchtools.js	(from http://kindeditor.net/docs/search.html)
17:17:18	108768/108768	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256fd2893-1a8e0%22	http://kindeditor.net/docs/searchindex.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/searchindex.js	(from http://kindeditor.net/docs/search.html)
